MUNICIPIO;ANNO;Coefficients;Mean squared error;Variance score;
ACACIAS;2021;[1.903];164.05;0.15;15
ACACIAS;2022;[1.90306977];131.24;0.19;19
ACACIAS;2023;[1.90308696];109.37;0.23;23
ACACIAS;2024;[1.90308696];93.75;0.28;28
ACACIAS;2025;[1.90308108];82.03;0.33;33
AGUACHICA;2021;[499.00581395];246713.12;0.78;78
AGUACHICA;2022;[499.00582143];205594.27;0.85;85
AGUACHICA;2023;[499.00583904];176223.66;0.89;89
AGUACHICA;2024;[499.00585775];154195.7;0.92;92
AGUACHICA;2025;[499.005875];137062.85;0.94;94
AGUAZUL;2025;[-6.60084234];654.09;0.42;42
AGUAZUL;2023;[-9.29142857];707.84;0.45;45
AGUAZUL;2024;[-9.29141667];606.72;0.54;54
AGUAZUL;2022;[-14.49534884];589.92;0.55;55
AGUAZUL;2021;[-24.932];86.88;0.95;95
AGUSTIN CODAZZI;2021;[74.05348837];28554.22;0.5;50
AGUSTIN CODAZZI;2022;[74.05353571];23795.19;0.52;52
AGUSTIN CODAZZI;2023;[74.05351027];20395.87;0.62;62
AGUSTIN CODAZZI;2024;[74.05353079];17846.39;0.69;69
AGUSTIN CODAZZI;2025;[74.0535125];15863.46;0.75;75
AIPE;2024;[-382.99637681];5321292.24;0.23;23
AIPE;2025;[-382.99637387];4656130.71;0.28;28
AIPE;2023;[-562.77018634];5755713.57;0.3;30
AIPE;2022;[-877.96511628];5954904.56;0.41;41
AIPE;2021;[-1510.1];5057163.47;0.53;53
ALBAN;2021;[19.05];441.05;0.45;45
ALBAN;2022;[19.05];330.78;0.85;85
ALBAN;2023;[19.05];264.63;0.91;91
ALBAN;2024;[19.05];220.52;0.94;94
ALBAN;2025;[19.05];189.02;0.96;96
ALBANIA;2021;[13442.5];0;1;100
ALBANIA;2022;[13442.5];0;1;100
ALBANIA;2023;[13442.5];0;1;100
ALBANIA;2024;[13442.5];0;1;100
ALBANIA;2025;[13442.5];0;1;100
ALCALA;2021;[0.];0;1;100
ALCALA;2022;[0.];0;1;100
ALCALA;2023;[0.];0;1;100
ALCALA;2024;[0.];0;1;100
ALCALA;2025;[0.];0;1;100
ALVARADO;2021;[0.];0;1;100
ALVARADO;2022;[0.];0;1;100
ALVARADO;2023;[0.];0;1;100
ALVARADO;2024;[0.];0;1;100
ALVARADO;2025;[0.];0;1;100
AMAGA;2021;[-0.15666667];0;1;100
AMAGA;2022;[-0.15673077];0;1;100
AMAGA;2023;[-0.15678571];0;1;100
AMAGA;2024;[-0.15683019];0;1;100
AMAGA;2025;[-0.15686486];0;1;100
AMALFI;2021;[15.45];37.91;0.91;91
AMALFI;2022;[15.45];28.43;0.95;95
AMALFI;2023;[15.45];22.74;0.97;97
AMALFI;2024;[15.45];18.95;0.98;98
AMALFI;2025;[15.45];16.25;0.99;99
ANDALUCIA;2021;[-2.21674419];125.13;0.22;22
ANDALUCIA;2022;[-2.21671429];104.28;0.28;28
ANDALUCIA;2023;[-2.21672603];89.38;0.35;35
ANDALUCIA;2024;[-2.21674947];78.21;0.42;42
ANDALUCIA;2025;[-2.216775];69.52;0.5;50
ANGOSTURA;2021;[-1.616];182.56;0.13;13
ANGOSTURA;2022;[-1.616];146.05;0.16;16
ANGOSTURA;2023;[-1.616];121.71;0.19;19
ANGOSTURA;2024;[-1.616];104.32;0.22;22
ANGOSTURA;2025;[-1.616];91.28;0.27;27
ANORI;2022;[-22.925];1051.11;0.35;35
ANORI;2023;[-22.925];788.33;0.55;55
ANORI;2024;[-22.925];630.67;0.62;62
ANORI;2025;[-22.925];525.56;0.74;74
ANORI;2021;[-91.7];0;1;100
ANSERMANUEVO;2023;[0.];0;0.6;60
ANSERMANUEVO;2021;[0.];0;1;100
ANSERMANUEVO;2022;[0.];0;1;100
ANSERMANUEVO;2024;[0.];0;1;100
ANSERMANUEVO;2025;[0.];0;1;100
APARTADO;2023;[-11.03327397];126638.41;0.11;11
APARTADO;2024;[-11.03325053];110808.61;0.11;11
APARTADO;2025;[-11.033225];98496.54;0.11;11
APARTADO;2021;[-11.03325581];177293.78;0.14;14
APARTADO;2022;[-11.03328571];147744.82;0.16;16
ARACATACA;2021;[-16.57627119];35617.53;0.13;13
ARACATACA;2022;[-16.57628448];28494.02;0.14;14
ARACATACA;2023;[-16.57626471];23745.02;0.16;16
ARACATACA;2024;[-16.57623653];20352.87;0.18;18
ARACATACA;2025;[-16.57620809];17808.76;0.21;21
ARAUCA;2021;[500.97453488];636183.87;0.58;58
ARAUCA;2022;[500.9745];530153.23;0.69;69
ARAUCA;2023;[500.9745274];454417.05;0.77;77
ARAUCA;2024;[500.97450531];397614.92;0.82;82
ARAUCA;2025;[500.97452083];353435.49;0.86;86
ARAUQUITA;2021;[237.98255814];11859710.94;0.12;12
ARAUQUITA;2022;[237.98253571];9883092.45;0.13;13
ARAUQUITA;2023;[237.98256507];8471222.1;0.14;14
ARAUQUITA;2024;[237.9825414];7412319.34;0.15;15
ARAUQUITA;2025;[237.98255417];6588728.3;0.17;17
ARBOLETES;2021;[0.];0;1;100
ARBOLETES;2022;[0.];0;1;100
ARBOLETES;2023;[0.];0;1;100
ARBOLETES;2024;[0.];0;1;100
ARBOLETES;2025;[0.];0;1;100
ARJONA;2021;[58.89883721];43632.86;0.31;31
ARJONA;2022;[58.89885714];36360.72;0.41;41
ARJONA;2024;[58.89889384];27270.54;0.48;48
ARJONA;2023;[58.89887671];31166.33;0.5;50
ARJONA;2025;[58.89890833];24240.48;0.56;56
ARMENIA;2021;[913.73686047];1688894.68;0.63;63
ARMENIA;2022;[913.73689286];1407412.24;0.73;73
ARMENIA;2023;[913.73691438];1206353.35;0.8;80
ARMENIA;2024;[913.73692994];1055559.18;0.85;85
ARMENIA;2025;[913.73694167];938274.82;0.89;89
ARMERO GUAYABAL;2024;[-4.5874];143.11;0.33;33
ARMERO GUAYABAL;2022;[-9.175];168.36;0.35;35
ARMERO GUAYABAL;2025;[-4.58745714];119.26;0.44;44
ARMERO GUAYABAL;2023;[-9.175];126.27;0.55;55
ARMERO GUAYABAL;2021;[-36.7];0;1;100
AYAPEL;2021;[0.];0;1;100
AYAPEL;2022;[0.];0;1;100
AYAPEL;2023;[0.];0;1;100
AYAPEL;2024;[0.];0;1;100
AYAPEL;2025;[0.];0;1;100
BAHIA SOLANO;2021;[110.66666667];0;1;100
BAHIA SOLANO;2022;[110.66673077];0;1;100
BAHIA SOLANO;2023;[110.66678571];0;1;100
BAHIA SOLANO;2024;[110.66683019];0;1;100
BAHIA SOLANO;2025;[110.66686486];0;1;100
BALBOA;2021;[-71.29883721];636768.54;0.13;13
BALBOA;2022;[-71.29885714];530640.45;0.14;14
BALBOA;2023;[-71.29887671];454834.67;0.16;16
BALBOA;2024;[-71.29889384];397980.34;0.19;19
BALBOA;2025;[-71.29890833];353760.3;0.21;21
BARANOA;2021;[9.28571429];427.17;0.5;50
BARANOA;2022;[9.28566265];320.38;0.58;58
BARANOA;2023;[9.28567123];256.3;0.66;66
BARANOA;2024;[9.2857];213.59;0.73;73
BARANOA;2025;[9.28567021];183.07;0.78;78
BARBOSA;2021;[682.78209302];435391.33;0.79;79
BARBOSA;2022;[682.78214286];362826.11;0.86;86
BARBOSA;2023;[682.78215068];310993.8;0.9;90
BARBOSA;2024;[682.78214437];272119.58;0.93;93
BARBOSA;2025;[682.78213333];241884.07;0.94;94
BARRANCA DE UPIA;2021;[-9.];0;1;100
BARRANCA DE UPIA;2022;[-9.];0;1;100
BARRANCA DE UPIA;2023;[-9.];0;1;100
BARRANCA DE UPIA;2024;[-9.];0;1;100
BARRANCA DE UPIA;2025;[-9.];0;1;100
BARRANCABERMEJA;2021;[11049.64139535];109795977.3;0.79;79
BARRANCABERMEJA;2022;[11049.64139286];91496647.73;0.86;86
BARRANCABERMEJA;2023;[11049.64135959];78425698.05;0.9;90
BARRANCABERMEJA;2024;[11049.64138641];68622485.8;0.93;93
BARRANCABERMEJA;2025;[11049.64137917];60997765.15;0.95;95
BARRANQUILLA;2021;[-11703.15872093];2097908809;0.28;28
BARRANQUILLA;2025;[-6102.361275];1469310136;0.28;28
BARRANQUILLA;2024;[-8291.95590021];1519356927;0.35;35
BARRANQUILLA;2022;[-11703.15867857];1748257341;0.37;37
BARRANQUILLA;2023;[-11703.15868836];1498506292;0.45;45
BELALCAZAR;2021;[0.];0;1;100
BELALCAZAR;2022;[0.];0;1;100
BELALCAZAR;2023;[0.];0;1;100
BELALCAZAR;2024;[0.];0;1;100
BELALCAZAR;2025;[0.];0;1;100
BELEN DE UMBRIA;2021;[0.];0;1;100
BELEN DE UMBRIA;2022;[0.];0;1;100
BELEN DE UMBRIA;2023;[0.];0;1;100
BELEN DE UMBRIA;2024;[0.];0;1;100
BELEN DE UMBRIA;2025;[0.];0;1;100
BELLO;2021;[8831.30465116];379404757.4;0.51;51
BELLO;2022;[8831.30467857];316170631.2;0.54;54
BELLO;2023;[8831.30471575];271003398.2;0.63;63
BELLO;2024;[8831.30468577];237127973.4;0.71;71
BELLO;2025;[8831.3046875];210780420.8;0.77;77
BOAVITA;2021;[0.];0;1;100
BOAVITA;2022;[0.];0;1;100
BOAVITA;2023;[0.];0;1;100
BOAVITA;2024;[0.];0;1;100
BOAVITA;2025;[0.];0;1;100
BOGOTA, D.C.;2021;[120253.25848837];3.97114E+11;0.21;21
BOGOTA, D.C.;2022;[120253.25853571];3.30928E+11;0.27;27
BOGOTA, D.C.;2023;[120253.25851027];2.83653E+11;0.33;33
BOGOTA, D.C.;2024;[120253.25853079];2.48196E+11;0.4;40
BOGOTA, D.C.;2025;[120253.2585125];2.20619E+11;0.47;47
BOJACA;2021;[-0.077];128.49;0.6;60
BOJACA;2022;[-0.07706977];102.79;0.6;60
BOJACA;2023;[-0.07708696];85.66;0.6;60
BOJACA;2024;[-0.07708696];73.42;0.6;60
BOJACA;2025;[-0.07708108];64.24;0.6;60
BOLIVAR;2024;[-14.17579618];8051.96;0.26;26
BOLIVAR;2025;[-14.17579583];7157.3;0.3;30
BOLIVAR;2023;[-20.00753425];8506.93;0.32;32
BOLIVAR;2022;[-29.80714286];8561.63;0.43;43
BOLIVAR;2021;[-48.52325581];7149.86;0.53;53
BRICENO;2021;[329.9];0;1;100
BRICENO;2022;[329.9];0;1;100
BRICENO;2023;[329.9];0;1;100
BRICENO;2024;[329.9];0;1;100
BRICENO;2025;[329.9];0;1;100
BUCARAMANGA;2021;[518.14534884];3335698.35;0.32;32
BUCARAMANGA;2022;[518.14532143];2779748.62;0.41;41
BUCARAMANGA;2023;[518.14528425];2382641.68;0.5;50
BUCARAMANGA;2024;[518.14531423];2084811.47;0.5;50
BUCARAMANGA;2025;[518.1453125];1853165.75;0.56;56
BUENAVENTURA;2021;[915.04674419];14183429.89;0.27;27
BUENAVENTURA;2022;[915.04671429];11819524.91;0.35;35
BUENAVENTURA;2023;[915.04672603];10131021.35;0.43;43
BUENAVENTURA;2025;[915.046775];7879683.27;0.5;50
BUENAVENTURA;2024;[915.04674947];8864643.68;0.51;51
BUENAVISTA;2021;[0.];0;1;100
BUENAVISTA;2022;[0.];0;1;100
BUENAVISTA;2023;[0.];0;1;100
BUENAVISTA;2024;[0.];0;1;100
BUENAVISTA;2025;[0.];0;1;100
BUESACO;2021;[0.];0;1;100
BUESACO;2022;[0.];0;1;100
BUESACO;2023;[0.];0;1;100
BUESACO;2024;[0.];0;1;100
BUESACO;2025;[0.];0;1;100
BUGA;2021;[0.];0;1;100
BUGA;2022;[0.];0;1;100
BUGA;2023;[-1.80576232e-27];0;1;100
BUGA;2024;[0.];0;1;100
BUGA;2025;[0.];0;1;100
BUGALAGRANDE;2024;[-3.64645];174.5;0.44;44
BUGALAGRANDE;2025;[-3.64645213];149.58;0.51;51
BUGALAGRANDE;2023;[-4.99515753];170.06;0.56;56
BUGALAGRANDE;2022;[-7.02936145];138.4;0.65;65
BUGALAGRANDE;2021;[-10.41857143];19.75;0.96;96
CABUYARO;2021;[-13.13953488];14655.69;0.14;14
CABUYARO;2022;[-13.1395];12213.08;0.16;16
CABUYARO;2023;[-13.1395274];10468.35;0.19;19
CABUYARO;2024;[-13.13950531];9159.81;0.22;22
CABUYARO;2025;[-13.13952083];8142.05;0.26;26
CACERES;2021;[0.];0;1;100
CACERES;2022;[0.];0;1;100
CACERES;2023;[0.];0;1;100
CACERES;2024;[0.];0;1;100
CACERES;2025;[0.];0;1;100
CAICEDONIA;2022;[-7.075];100.11;0.35;35
CAICEDONIA;2025;[-4.04285714];85.81;0.46;46
CAICEDONIA;2023;[-7.075];75.08;0.55;55
CAICEDONIA;2024;[-7.075];60.07;0.62;62
CAICEDONIA;2021;[-28.3];0;1;100
CAJAMARCA;2025;[-11.970125];886.18;0.52;52
CAJAMARCA;2024;[-16.39745205];639.45;0.71;71
CAJAMARCA;2021;[-23.075];0;1;100
CAJAMARCA;2022;[-23.075];0;1;100
CAJAMARCA;2023;[-23.075];0;1;100
CAJICA;2021;[643.52662791];1999825.64;0.52;52
CAJICA;2022;[643.52664286];1666521.37;0.54;54
CAJICA;2023;[643.52667808];1428446.89;0.63;63
CAJICA;2024;[643.52664968];1249891.03;0.71;71
CAJICA;2025;[643.52665417];1111014.25;0.77;77
CALARCA;2021;[-0.97692308];80.42;0.13;13
CALARCA;2022;[-0.97692308];60.31;0.18;18
CALARCA;2023;[-0.97693011];48.25;0.23;23
CALARCA;2024;[-0.9769375];40.21;0.27;27
CALARCA;2025;[-0.97694444];34.47;0.32;32
CALDAS;2021;[281.58151163];657846.08;0.39;39
CALDAS;2022;[281.58146429];548205.07;0.5;50
CALDAS;2023;[281.58148973];469890.06;0.5;50
CALDAS;2024;[281.58146921];411153.8;0.59;59
CALDAS;2025;[281.5814875];365470.05;0.66;66
CALI;2021;[3847.93697674];68567292.17;0.53;53
CALI;2022;[3847.93696429];57139410.14;0.55;55
CALI;2023;[3847.93696233];48976637.26;0.64;64
CALI;2024;[3847.93696391];42854557.61;0.72;72
CALI;2025;[3847.93696667];38092940.09;0.78;78
CALIFORNIA;2021;[0.];0;1;100
CALIFORNIA;2022;[0.];0;1;100
CALIFORNIA;2023;[0.];0;1;100
CALIFORNIA;2024;[0.];0;1;100
CALIFORNIA;2025;[0.];0;1;100
CALIMA;2021;[89.];0;1;100
CALIMA;2022;[89.];0;1;100
CALIMA;2023;[89.];0;1;100
CALIMA;2024;[89.];0;1;100
CALIMA;2025;[89.];0;1;100
CALOTO;2021;[-55.54767442];82089.16;0.21;21
CALOTO;2022;[-55.54771429];68407.64;0.27;27
CALOTO;2023;[-55.54775342];58635.12;0.34;34
CALOTO;2024;[-55.54772187];51305.73;0.41;41
CALOTO;2025;[-55.54772083];45605.09;0.48;48
CAMPOALEGRE;2021;[-4.99857143];289.46;0.22;22
CAMPOALEGRE;2022;[-4.99857143];217.09;0.3;30
CAMPOALEGRE;2023;[-4.99863514];173.68;0.4;40
CAMPOALEGRE;2024;[-4.99858571];144.73;0.5;50
CAMPOALEGRE;2025;[-4.99860246];124.05;0.5;50
CANASGORDAS;2021;[10.1975];550127.07;0.6;60
CANASGORDAS;2022;[10.1975];412595.3;0.6;60
CANASGORDAS;2023;[10.19754878];330076.24;0.6;60
CANASGORDAS;2024;[10.19752632];275063.54;0.6;60
CANASGORDAS;2025;[10.19754405];235768.75;0.6;60
CANDELARIA;2021;[271.78255814];359545.84;0.51;51
CANDELARIA;2022;[271.78253571];299621.54;0.53;53
CANDELARIA;2023;[271.78256507];256818.46;0.63;63
CANDELARIA;2024;[271.7825414];224716.15;0.71;71
CANDELARIA;2025;[271.78255417];199747.69;0.77;77
CAQUEZA;2021;[0.];0;1;100
CAQUEZA;2022;[0.];0;1;100
CAQUEZA;2023;[0.];0;1;100
CAQUEZA;2024;[0.];0;1;100
CAQUEZA;2025;[0.];0;1;100
CARACOLI;2025;[-1.60640957];8.07;0.71;71
CARACOLI;2021;[-2.15714286];2.99;0.88;88
CARACOLI;2022;[-2.15716867];2.24;0.92;92
CARACOLI;2023;[-2.15716438];1.79;0.94;94
CARACOLI;2024;[-2.15715];1.49;0.95;95
CAREPA;2022;[-82.07222892];448681.53;0.17;17
CAREPA;2023;[-82.07219588];358945.22;0.23;23
CAREPA;2024;[-82.07217241];299121.02;0.28;28
CAREPA;2025;[-82.07215288];256389.44;0.33;33
CAREPA;2021;[-851.5];161463.5;0.75;75
CARMEN DE VIBORAL;2021;[0.];0;1;100
CARMEN DE VIBORAL;2022;[0.];0;1;100
CARMEN DE VIBORAL;2023;[0.];0;1;100
CARMEN DE VIBORAL;2024;[0.];0;1;100
CARMEN DE VIBORAL;2025;[0.];0;1;100
CAROLINA;2021;[0.];0;1;100
CAROLINA;2022;[0.];0;1;100
CAROLINA;2023;[1.73456529e-28];0;1;100
CAROLINA;2024;[0.];0;1;100
CAROLINA;2025;[0.];0;1;100
CARTAGENA;2021;[0.];0;1;100
CARTAGENA;2022;[0.];0;1;100
CARTAGENA;2023;[0.];0;1;100
CARTAGENA;2024;[0.];0;1;100
CARTAGENA;2025;[0.];0;1;100
CARTAGENA DE INDIAS;2021;[19885.84];2240580099;0.41;41
CARTAGENA DE INDIAS;2022;[19885.84];1792464079;0.53;53
CARTAGENA DE INDIAS;2023;[19885.84];1493720066;0.54;54
CARTAGENA DE INDIAS;2024;[19885.84];1280331485;0.63;63
CARTAGENA DE INDIAS;2025;[19885.84];1120290049;0.71;71
CARTAGO;2021;[272.02790698];762775.68;0.35;35
CARTAGO;2022;[272.02785714];635646.4;0.45;45
CARTAGO;2024;[272.02785563];476734.8;0.53;53
CARTAGO;2023;[272.02784932];544839.77;0.55;55
CARTAGO;2025;[272.02786667];423764.27;0.61;61
CASTILLA LA NUEVA;2021;[0.];0;1;100
CASTILLA LA NUEVA;2022;[0.];0;1;100
CASTILLA LA NUEVA;2023;[0.];0;1;100
CASTILLA LA NUEVA;2024;[0.];0;1;100
CASTILLA LA NUEVA;2025;[0.];0;1;100
CAUCASIA;2021;[563.93209302];1316490.91;0.55;55
CAUCASIA;2022;[563.93214286];1097075.76;0.57;57
CAUCASIA;2023;[563.93215068];940350.65;0.67;67
CAUCASIA;2024;[563.93214437];822806.82;0.74;74
CAUCASIA;2025;[563.93213333];731383.84;0.79;79
CERETE;2021;[51.13662791];53444.13;0.24;24
CERETE;2022;[51.13664286];44536.78;0.32;32
CERETE;2023;[51.13667808];38174.38;0.39;39
CERETE;2024;[51.13664968];33402.58;0.47;47
CERETE;2025;[51.13665417];29691.18;0.54;54
CHAPARRAL;2021;[-2.61546512];31.38;0.53;53
CHAPARRAL;2022;[-2.6155];26.15;0.55;55
CHAPARRAL;2023;[-2.6154726];22.41;0.65;65
CHAPARRAL;2024;[-2.61549469];19.61;0.72;72
CHAPARRAL;2025;[-2.61547917];17.43;0.78;78
CHIA;2021;[-492.28976744];1271513.99;0.5;50
CHIA;2022;[-492.28975];1059595;0.52;52
CHIA;2023;[-492.2897637];908224.28;0.61;61
CHIA;2024;[-492.28978556];794696.25;0.69;69
CHIA;2025;[-492.28980833];706396.66;0.75;75
CHIGORODO;2021;[0.];0;1;100
CHIGORODO;2022;[0.];0;1;100
CHIGORODO;2023;[0.];0;1;100
CHIGORODO;2024;[0.];0;1;100
CHIGORODO;2025;[0.];0;1;100
CHINCHINA;2023;[-76.94603425];61537.43;0.46;46
CHINCHINA;2021;[-114.63395349];61958.63;0.52;52
CHINCHINA;2025;[-76.94600417];47862.44;0.52;52
CHINCHINA;2022;[-114.63392857];51632.19;0.54;54
CHINCHINA;2024;[-76.94601486];53845.25;0.55;55
CHIPAQUE;2025;[-2.27217297];25.21;0.51;51
CHIPAQUE;2024;[-2.27219811];30.26;0.52;52
CHIPAQUE;2022;[-3.44076923];31.67;0.52;52
CHIPAQUE;2023;[-3.44071429];23.75;0.64;64
CHIPAQUE;2021;[-6.62666667];0;1;100
CHIQUINQUIRA;2021;[-18.11313953];6777.04;0.24;24
CHIQUINQUIRA;2022;[-18.11310714];5647.53;0.31;31
CHIQUINQUIRA;2023;[-18.11308562];4840.74;0.39;39
CHIQUINQUIRA;2024;[-18.11307006];4235.65;0.46;46
CHIQUINQUIRA;2025;[-18.11305833];3765.02;0.54;54
CHITA;2021;[0.];0;1;100
CHITA;2022;[0.];0;1;100
CHITA;2023;[0.];0;1;100
CHITA;2024;[0.];0;1;100
CHITA;2025;[0.];0;1;100
CHOCONTA;2021;[0.];0;1;100
CHOCONTA;2022;[0.];0;1;100
CHOCONTA;2023;[0.];0;1;100
CHOCONTA;2024;[0.];0;1;100
CHOCONTA;2025;[0.];0;1;100
CIENAGA;2021;[690.69069767];310735.47;0.84;84
CIENAGA;2022;[690.69075];258946.22;0.9;90
CIENAGA;2023;[690.6907089];221953.91;0.93;93
CIENAGA;2024;[690.69070913];194209.67;0.95;95
CIENAGA;2025;[690.690725];172630.82;0.96;96
CIENAGA DE ORO;2021;[147.76785714];355.37;0.99;99
CIENAGA DE ORO;2022;[147.76785714];266.53;0.99;99
CIENAGA DE ORO;2023;[147.76787838];213.22;1;100
CIENAGA DE ORO;2024;[147.7679];177.68;1;100
CIENAGA DE ORO;2025;[147.76791803];152.3;1;100
CIMITARRA;2021;[-23.97034884];52678.17;0.14;14
CIMITARRA;2022;[-23.97032143];43898.48;0.16;16
CIMITARRA;2023;[-23.97028425];37627.27;0.18;18
CIMITARRA;2024;[-23.97031423];32923.86;0.21;21
CIMITARRA;2025;[-23.9703125];29265.65;0.25;25
CISNEROS;2021;[30.02857143];67976.09;0.16;16
CISNEROS;2022;[30.02853012];50982.07;0.18;18
CISNEROS;2023;[30.02855479];40785.66;0.21;21
CISNEROS;2024;[30.028525];33988.05;0.25;25
CISNEROS;2025;[30.02853989];29132.61;0.29;29
CLEMENCIA;2024;[-24.5];1200.5;0.5;50
CLEMENCIA;2025;[-24.5];1000.42;0.64;64
CLEMENCIA;2021;[-49.];0;1;100
CLEMENCIA;2022;[-49.];0;1;100
CLEMENCIA;2023;[-49.];0;1;100
COELLO;2022;[-2.0875];34.86;0.35;35
COELLO;2023;[-2.08757627];26.15;0.48;48
COELLO;2024;[-2.08753448];20.92;0.5;50
COELLO;2025;[-2.08755882];17.43;0.59;59
COELLO;2021;[-8.35];0;1;100
COGUA;2021;[51.30882353];8544.77;0.57;57
COGUA;2022;[51.30883582];6835.81;0.67;67
COGUA;2023;[51.30885408];5696.51;0.75;75
COGUA;2024;[51.30887234];4882.72;0.81;81
COGUA;2025;[51.30888889];4272.38;0.85;85
COLOMBIA;2021;[3.75];0;1;100
COLOMBIA;2022;[3.75];0;1;100
COLOMBIA;2023;[3.75];0;1;100
COLOMBIA;2024;[3.75];0;1;100
COLOMBIA;2025;[3.75];0;1;100
COPACABANA;2021;[-775.69953488];3448274.04;0.48;48
COPACABANA;2022;[-775.6995];2873561.7;0.5;50
COPACABANA;2023;[-775.6995274];2463052.89;0.59;59
COPACABANA;2024;[-775.69950531];2155171.28;0.67;67
COPACABANA;2025;[-775.69952083];1915707.8;0.74;74
CORDOBA;2021;[0.];0;1;100
CORDOBA;2022;[0.];0;1;100
CORDOBA;2023;[0.];0;1;100
CORDOBA;2024;[0.];0;1;100
CORDOBA;2025;[0.];0;1;100
COROZAL;2021;[0.];0;1;100
COROZAL;2022;[0.];0;1;100
COROZAL;2023;[0.];0;1;100
COROZAL;2024;[0.];0;1;100
COROZAL;2025;[0.];0;1;100
COTA;2021;[1560.06767442];1077203.26;0.89;89
COTA;2022;[1560.06771429];897669.39;0.93;93
COTA;2023;[1560.06775342];769430.9;0.95;95
COTA;2024;[1560.06772187];673252.04;0.96;96
COTA;2025;[1560.06772083];598446.26;0.97;97
CUCUNUBA;2021;[0.];0;1;100
CUCUNUBA;2022;[0.];0;1;100
CUCUNUBA;2023;[0.];0;1;100
CUCUNUBA;2024;[0.];0;1;100
CUCUNUBA;2025;[0.];0;1;100
CUCUTA;2021;[7945.09430233];98890830.87;0.69;69
CUCUTA;2022;[7945.09425];82409025.72;0.78;78
CUCUTA;2023;[7945.0942089];70636307.76;0.84;84
CUCUTA;2024;[7945.09417622];61806769.29;0.88;88
CUCUTA;2025;[7945.09415];54939350.48;0.91;91
CUMBAL;2021;[14.3];203.28;0.61;61
CUMBAL;2022;[14.3];152.46;0.75;75
CUMBAL;2023;[14.3];121.97;0.83;83
CUMBAL;2024;[14.3];101.64;0.89;89
CUMBAL;2025;[14.3];87.12;0.92;92
DABEIBA;2021;[0.];0;1;100
DABEIBA;2022;[0.];0;1;100
DABEIBA;2023;[0.];0;1;100
DABEIBA;2024;[0.];0;1;100
DABEIBA;2025;[0.];0;1;100
DAGUA;2021;[-35.92307692];232661.54;0.12;12
DAGUA;2022;[-35.92307692];174496.15;0.14;14
DAGUA;2023;[-35.92306989];139596.92;0.16;16
DAGUA;2024;[-35.9230625];116330.77;0.19;19
DAGUA;2025;[-35.92305556];99712.09;0.22;22
DIBULLA;2021;[401.77244186];666210.3;0.55;55
DIBULLA;2022;[401.77246429];555175.25;0.58;58
DIBULLA;2023;[401.77243493];475864.5;0.67;67
DIBULLA;2024;[401.7724586];416381.44;0.74;74
DIBULLA;2025;[401.77244583];370116.83;0.79;79
DONMATIAS;2021;[-54.637];259874.03;0.13;13
DONMATIAS;2022;[-54.63706977];207899.22;0.15;15
DONMATIAS;2023;[-54.63708696];173249.35;0.17;17
DONMATIAS;2024;[-54.63708696];148499.45;0.2;20
DONMATIAS;2025;[-54.63708108];129937.01;0.24;24
DOS QUEBRADAS;2021;[0.];0;1;100
DOS QUEBRADAS;2022;[0.];0;1;100
DOS QUEBRADAS;2023;[0.];0;1;100
DOS QUEBRADAS;2024;[0.];0;1;100
DOS QUEBRADAS;2025;[0.];0;1;100
DOSQUEBRADAS;2021;[10634.283];76225855.56;0.79;79
